Collection;Record Number;Project acronym;Title;ID;Teaser;Domains of application;Programmes;Fields of science;Project start date;Project end date;Language;Available languages;Last updated;URL
pubsum;148701;NA;Final Report Summary - PIEZOSELEX (Piezo Pair Materials for the Selective Exclusion of Workplace Noise);262002_PS;Executive Summary:PiezoSelEx is a two-year project funded by the European Commission’s Framework 7 Programme, within the ‘Research for SMEs’ scheme. The PiezoSelEx consortium is made up of a well balanced team of organisations who have been selected on the basis of their...;NA;FP7-SME;NA;NA;NA;en;en;2014-09-26T11:05:51Z;https://cordis.europa.eu/project/id/262002/reporting
pubsum;52688;NA;Final Report Summary - ENBREC (European Network of Bipolar Research Expert Centres);223102_PS;"Executive Summary:
Bipolar disorders (BP) are characterized by recurrent manic and depressive episodes that affect 1-3% of the population. According to the World Health Organization study, BP are ranked 6th amongst the most disabling illnesses in working age adults worldwide. ...";NA;FP7-HEALTH;NA;NA;NA;en;en;2013-01-18T00:02:53Z;https://cordis.europa.eu/project/id/223102/reporting
project;193897;BIG4;BIG4 - Biosystematics, Informatics and Genetics of the big 4 insect groups: training tomorrow's researchers and entrepreneurs;642241;BIG4 is a global network to amalgamate the cutting edge methods of genomics, phylogenetics, informatics, taxonomy, semantic biodiversity publishing and citizen science, into highly competitive cross-disciplinary training programme for 15 ESRs with a stronghold in...;NA;H2020-EU.1.3.,H2020-EU.1.3.1.;"/natural sciences/biological sciences/evolutionary biology;/natural sciences/biological sciences/other biological topics;/natural sciences/biological sciences/biodiversity conservation;/natural sciences/biological sciences/ecology/ecosystems;/natural sciences/biological sciences/zoology/entomology;/natural sciences/biological sciences/ecology/invasive species;/natural sciences/biological sciences/genetics/genomes;/natural sciences/biological sciences/biological behavioural sciences";2015-01-01;2018-12-31;en;en;2022-08-15T11:46:42Z;https://cordis.europa.eu/project/id/642241
project;200063;smarticipate;smart services for calculated impact assessment in open governance;693729;SMARTICIPATE is a data-rich citizen dialogue system, transforming public data into new intelligence, and transposing elements of intelligent ICT development to urban governance. The aim is to integrate bottom-up processes in the realm of city planning, using the full potential...;NA;H2020-EU.3.6.;"/social sciences/sociology/governance/public services;/social sciences/political sciences/political policies/civil society/nongovernmental organizations;/social sciences/economics and business/business and management/business models;/social sciences/economics and business/economics/sustainable economy;/social sciences/political sciences/public administration";2016-02-01;2019-01-31;en;en;2022-08-15T12:30:14Z;https://cordis.europa.eu/project/id/693729
pubsum;153157;NA;Final Report Summary - EUROBIOREF (EUROpean multilevel integrated BIOREFinery design for sustainable biomass processing);241718_PS;EuroBioRef (www.eurobioref.org) deals with the entire process of transformation of biomass, from non-edible crops production to commercial products. It involved 29 partners from 15 countries.Main results- 5 lignocellulosic plants (willow, giant reed...;NA;FP7-ENERGY;NA;NA;NA;en;en;2015-01-16T12:22:56Z;https://cordis.europa.eu/project/id/241718/reporting
pubsum;153897;NA;Final Report Summary - ERA-AGE 2 (ERA-AGE Extension);235356_PS;Executive Summary:The ERA-AGE 2 project is a continuation of the highly successful ERA-AGE project which started in 2004 and was the first project to focus on the Europeanisation of ageing research and ran from 2009 for 42 months.  The ERA-AGE consortium is the only ERA-Net in...;NA;FP7-GA;NA;NA;NA;en;en;2014-12-11T20:15:48Z;https://cordis.europa.eu/project/id/235356/reporting
project;215946;Organic-PLUS;Pathways to phase-out contentious inputs from organic agriculture in Europe;774340;The Organic-PLUS project has the overall aim of providing high quality, trans-disciplinary, scientifically informed decision support to help all actors in the organic sector, including national and regional policy makers, to reach the next level of the EU’s organic success...;NA;H2020-EU.3.2.1.1.,H2020-EU.3.2.;"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/sustainable agriculture;/medical and health sciences/basic medicine/pharmacology and pharmacy/pharmaceutical drugs/antibiotics;/social sciences/economics and business/economics/bioeconomy;/agricultural sciences/animal and dairy science/domestic animals/animal husbandry";2018-05-01;2022-10-31;en;en;2022-11-02T12:09:29Z;https://cordis.europa.eu/project/id/774340
pubsum;196930;NA;Final Report Summary - SAVELEC (Safe control of non cooperative vehicles through electromagnetic means);285202_PS;SAVELEC aims to provide a solution for the external, safe control of a non-cooperative vehicle without any consequences on the persons inside the vehicle or other persons and objects nearby. The proposed solution is based on the use of electromagnetic means, electromagnetic...;NA;FP7-SECURITY;NA;NA;NA;en;en;2017-04-06T12:01:50Z;https://cordis.europa.eu/project/id/285202/reporting
pubsum;141610;NA;Final Report Summary - NANOFOL (Folate-based nanobiodevices for integrated diagnosis/therapy targeting chronic inflammatory diseases);228827_PS;NANOFOL developed a new diagnostic/therapy approach using folate-based nanobiodevices (FBN) able to provide a new type of cost efficient treatment for chronic inflammatory diseases such as Rheumatoid Arthritis with low side effects that will constitute a more advantageous...;NA;FP7-NMP;NA;NA;NA;en;en;2014-07-08T17:23:10Z;https://cordis.europa.eu/project/id/228827/reporting
pubsum;56136;NA;Final Report Summary - TRANSFEU (Transport fire safety engineering in the European Union);233786_PS;"Executive summary: 

 There is an urgent need to have a confident toxicity measurement methodology that contributes to the existing level of surface transport fire safety, which is the most difficult issue to assess in case of fire. The lack of confidence in the robustness of ...";NA;FP7-TRANSPORT;NA;NA;NA;en;en;2013-06-04T00:00:00Z;https://cordis.europa.eu/project/id/233786/reporting
brief;435875;NA;Santé publique: donner aux citoyens les moyens de surveiller la pollution urbaine;435875-public-health-empowering-citizens-to-monitor-urban-pollution;Le projet CitieS-Health, financé par l’UE, place les préoccupations des citoyens au cœur de la recherche sur la santé publique et l’environnement urbain. Ses résultats soulignent les atouts d’un engagement auprès des communautés locales.;Société;H2020-EU.5.c.;NA;NA;NA;fr;bg,cs,da,de,el,en,es,et,fi,fr,ga,hr,hu,it,lt,lv,mt,nl,pl,pt,ro,sk,sl,sv;2022-03-29T15:50:15Z;https://cordis.europa.eu/article/id/435875-public-health-empowering-citizens-to-monitor-urban-pollution/fr
pubsum;177464;NA;Final Report Summary - PLANHAB (Planetary Habitat Simulation);284438_PS;Executive Summary:4.1.1 Executive summaryThe PlanHab project investigated the separate and combined effects of hypoxia and sustained recumbency (bedrest), on human physiological systems. The partial pressure of oxygen in the environmental gas inside future planetary habitats...;NA;FP7-SPACE;NA;NA;NA;en;en;2016-02-17T17:04:46Z;https://cordis.europa.eu/project/id/284438/reporting
project;194092;HEARTEN;A co-operative mHEALTH environment targeting adherence and management of patients suffering from Heart Failure;643694;HEARTEN will design, develop and validate an ICT co-operative environment that will enable the HF patients to achieve sustainable behavior change regarding their adherence and compliance, and the ecosystem actors to be engaged and improve the patients’ HF management. HEARTEN...;NA;H2020-EU.3.1.,H2020-EU.3.1.4.;"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors/biosensors;/medical and health sciences/basic medicine/pharmacology and pharmacy/pharmaceutical drugs;/medical and health sciences/clinical medicine/endocrinology/diabetes;/medical and health sciences/health sciences/nutrition;/medical and health sciences/clinical medicine/cardiology";2015-01-01;2018-03-31;en;en;2022-08-16T22:10:23Z;https://cordis.europa.eu/project/id/643694
programme;703820;NA;Open schooling and collaboration on science education;H2020_SwafS-01-2018-2019-2020;The proposed action targets the creation of new partnerships in local communities to foster improved science education for all citizens. This action aims to support a range of activities based on collaboration between formal, non-formal and informal science education...;NA;NA;NA;NA;NA;en;en;2022-04-13T19:50:19Z;https://cordis.europa.eu/programme/id/H2020_SwafS-01-2018-2019-2020
programme;701866;NA;Putting Open Science into action;H2020_SwafS-10-2017;Proposals can be inspired (but not exclusively) by previous Mobilisations and Mutual Learning Action Plans (MMLs) funded by the European Commission, in their methods or actual design and outcomes. MMLs bringing together a wide diversity of actors to deliberate and share on...;NA;NA;NA;NA;NA;en;en;2018-06-28T10:37:31Z;https://cordis.europa.eu/programme/id/H2020_SwafS-10-2017
