Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
brief;422170;;"Robotics, automation and 5G go underground";422170-robotics-automation-and-5g-go-underground;"EU-funded research has jump-started an Industrial Revolution in the mining industry with automation, all-electric vehicles and 5G connectivity. Outcomes will enhance miner safety, mining sustainability and efficiency, and public support for the sector that supplies the raw materials instrumental to our economy.";"Climate Change and Environment,Industrial Technologies,Food and Natural Resources";H2020-EU.3.5.,H2020-EU.3.5.3.;;;;en;de,en,es,fr,it,pl;"2020-09-18 15:24:12";https://cordis.europa.eu/article/id/422170-robotics-automation-and-5g-go-underground
pubsum;660317;;"Periodic Reporting for period 2 - EndoMapper (EndoMapper: Real-time mapping from endoscopic video)";863146_PS;"Endoscopes traversing endoluminal cavities, such as the colon, are routine in diagnostic and therapeutic interventions. However, they lack any autonomy. An endoscope operating autonomously in vivo would require real-time cartography of the regions where it is navigating and...";;H2020-EU.1.2.,H2020-EU.1.2.1.;;;;en;en;"2022-11-23 14:28:34";https://cordis.europa.eu/project/id/863146/reporting
publication;505547;;"3D Audio and Haptic Interfaces for Training the Spatial Acoustic Resolution in Virtual Auditory Environments";643636_14246_PUBLI;;;;;;;en;en;"2020-09-10 11:14:40";https://cordis.europa.eu/project/id/643636/results
publication;505538;;"Perceptual feedback training for improving spatial acuity and resolving front-back confusion errors in virtual auditory environments";643636_137232_PUBLI;;;;;;;en;en;"2020-09-10 11:14:39";https://doi.org/10.1109/TSP.2017.8075999
publication;505523;;"Virtual environments for training visually impaired for a sensory substitution device";643636_137217_PUBLI;;;;;;;en;en;"2020-09-10 11:14:39";https://doi.org/10.1109/ZINC.2017.7968654
publication;505882;;"Inferring Human Knowledgeability from Eye Gaze in Mobile Learning Environments";643783_372069_PUBLI;;;;;;;en;en;"2020-09-10 11:14:46";https://doi.org/10.1007/978-3-030-11024-6_13
publication;505879;;"RT-GENE: Real-Time Eye Gaze Estimation in Natural Environments";643783_372066_PUBLI;;;;;;;en;en;"2020-09-10 11:14:46";https://doi.org/10.1007/978-3-030-01249-6_21
publication;505493;;"Real-time inter-process communication in heterogeneous programming environments";643636_125451_PUBLI;;;;;;;en;en;"2020-09-10 11:14:39";https://doi.org/10.1109/ICSTCC.2016.7790679
pubsum;177474;;"Final Report Summary - FLUMABACK (Fluid Management component improvement for Back up fuel cell systems)";301782_PS;"The FluMaBack (Fluid Management component improvement for Back up fuel cell systems) project aims at improving the performance, lifetime and cost of balance of plant (BOP) components of back up fuel cell systems specifically developed for countries where long...";;FP7-JTI;;;;en;en;"2016-02-17 16:52:53";https://cordis.europa.eu/project/id/301782/reporting
pubsum;175778;;"Final Report Summary - LONGLIFE (Advanced multifunctional zirconia ceramics for long-lasting implants)";280741_PS;"LONGLIFE project aimed at:  -	Developing new zirconia-based ultrafine poly-phasic composites able to answer the specifications in terms of mechanical properties, stability with time, biocompatibility, -	Developing new surfaces by both topography and chemical...";;FP7-NMP;;;;en;en;"2016-01-20 15:20:57";https://cordis.europa.eu/project/id/280741/reporting
