Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
news;428787;;"How does the public view drones?";428787-how-does-the-public-view-drones;"EU-funded researchers looked into how much people know about drones, and especially their use in emergency situations. The answer? Not much.";"Digital Economy,Society";;;;;en;de,en,es,fr,it,pl;"2021-01-14 18:52:13";https://cordis.europa.eu/article/id/428787-how-does-the-public-view-drones
projectDescription;417629;;"Distributed computing to rub out fake news";417629-distributed-computing-to-rub-out-fake-news;;;;;;;en;de,en,es,fr,it,pl;"2020-12-21 18:00:23";https://cordis.europa.eu/article/id/417629-distributed-computing-to-rub-out-fake-news
projectDescription;424637;;"Gas monitoring made more accessible via innovative solution";424637-gas-monitoring-made-more-accessible-via-innovative-solution;;;;;;;en;de,en,es,fr,it,pl;"2021-05-10 20:26:18";https://cordis.europa.eu/article/id/424637-gas-monitoring-made-more-accessible-via-innovative-solution
story;150999;;"EUROEMP: Evaluating employment in Europe";150999-euroemp-evaluating-employment-in-europe;"As Europe continues to confront the consequences of the 2008 financial crisis it becomes ever-more important to fathom not only how Europe can return to productive levels of employment, but why it is failing to do so. Professor Pissarides’s ERC research examines both what kind of jobs Europeans do and future trends in employment. He will present his research to the public at TEDx Brussels event on 1 December.";;FP7-IDEAS-ERC;;;;en;de,en,es,fr,it,pl;"2014-11-28 09:09:16";https://cordis.europa.eu/article/id/150999-euroemp-evaluating-employment-in-europe
brief;234882;;"Social gaming for better energy efficiency in public buildings";234882-social-gaming-for-better-energy-efficiency-in-public-buildings;"Tackling the energy inefficiency of public buildings, TRIBE developed a mobile game to educate and change behaviour. Its simulation draws on real data to demonstrate the human aspects of building use, such as ingrained attitudes and the pursuit of comfort.";Energy;H2020-EU.3.3.,H2020-EU.3.3.1.;;;;en;de,en,es,fr,it,pl;"2018-07-20 17:44:55";https://cordis.europa.eu/article/id/234882-social-gaming-for-better-energy-efficiency-in-public-buildings
projectDescription;433364;;"Learning about research in Cork";433364-learning-about-research-in-cork;;;;;;;en;de,en,es,fr,it,pl;"2022-09-05 18:39:25";https://cordis.europa.eu/article/id/433364-learning-about-research-in-cork
brief;422273;;"Quality assurance for successful energy efficiency services";422273-quality-assurance-for-successful-energy-efficiency-services;"Building trust in energy efficiency services is key to increasing investment in sustainable buildings. The QualitEE project has been developing quality assessment criteria and assurance schemes in order to make this happen.";Energy;H2020-EU.3.3.,H2020-EU.3.3.7.,H2020-EU.3.3.1.;;;;en;de,en,es,fr,it,pl;"2020-09-29 15:14:37";https://cordis.europa.eu/article/id/422273-quality-assurance-for-successful-energy-efficiency-services
brief;422276;;"Innovative financing solution for mid-scale energy efficiency / renewable energy investments in industry";422276-innovative-financing;"SMEs cut off from access to investors now have a chance to bring their energy efficiency and renewable energy projects to fruition, thanks to a new solution developed under the TrustEE project. The platform provides access to technologies, technical assessment and financing. It considerably reduces risk for all stakeholders involved.";Energy;H2020-EU.3.3.,H2020-EU.3.3.7.;;;;en;de,en,es,fr,it,pl;"2020-09-29 15:14:37";https://cordis.europa.eu/article/id/422276-innovative-financing
brief;422268;;"A data portal for standardised energy efficiency mortgages";422268-a-data-portal-for-standardised-energy-efficiency-mortgages;"Energy efficiency projects are doomed to fail without financial support, and the latter cannot be obtained without reliable data for risk analysis. The EeDaPP project, which is part of the wider Energy Efficient Mortgages Initiative, provides a market-led protocol to record such data and make it available to stakeholders.";Energy;H2020-EU.3.3.,H2020-EU.3.3.7.,H2020-EU.3.3.1.;;;;en;de,en,es,fr,it,pl;"2020-09-29 15:14:37";https://cordis.europa.eu/article/id/422268-a-data-portal-for-standardised-energy-efficiency-mortgages
brief;422275;;"Innovative financial instrument can accelerate the deep renovation of Latvia’s Soviet-era buildings";422275-innovative-financial-instrument;"By creating an entirely new financial instrument that enables long-term financing with affordable conditions and terms, the SUNShINE project has overcome the main barriers to energy-efficient renovations. Ongoing renovation projects aim at a reduction in energy consumption of up to 60 %.";Energy;H2020-EU.3.3.,H2020-EU.3.3.7.;;;;en;de,en,es,fr,it,pl;"2020-09-29 15:14:37";https://cordis.europa.eu/article/id/422275-innovative-financial-instrument
brief;435517;;"Reducing the risk and capital associated with deep energy efficiency renovations";435517-reducing-the-risk-and-capital-associated-with-deep-energy-efficiency-renovations;"In 2019, the carbon footprint associated with building operations such as heating increased to the highest levels ever recorded. An innovative EU funded financing scheme has now put capital intensive, state-of-the-art energy efficiency within reach.";Energy;H2020-EU.3.3.,H2020-EU.3.3.7.,H2020-EU.3.3.1.;;;;en;de,en,es,fr,it,pl;"2021-12-23 13:58:25";https://cordis.europa.eu/article/id/435517-reducing-the-risk-and-capital-associated-with-deep-energy-efficiency-renovations
news;33968;;"EU project probes effectiveness of healthy eating campaigns";33968-eu-project-probes-effectiveness-of-healthy-eating-campaigns;"European policymakers continue to promote and encourage healthy eating in EU Member States. But despite the hard effort, obesity continues to play havoc across the region, fuelling healthcare costs and triggering losses in productivity. So the question is, how effective are th...";;;;;;en;de,en,es,fr,it,pl;"2011-10-27 00:00:02";https://cordis.europa.eu/article/id/33968-eu-project-probes-effectiveness-of-healthy-eating-campaigns
news;25419;;"Conference considers steps to increase philanthropic funding of R&D";25419-conference-considers-steps-to-increase-philanthropic-funding-of-rd;"The contribution of charitable foundations and other non-profit organisations to funding research and development (R&D) in Europe could be significantly increased by sharing experiences and cooperating at a European level, a conference in Brussels has heard.

Unlike in the US,...";;;;;;en;de,en,es,fr,it,pl;"2006-03-29 00:00:02";https://cordis.europa.eu/article/id/25419-conference-considers-steps-to-increase-philanthropic-funding-of-rd
brief;422270;;"Reduced risk for SMEs contemplating energy efficiency";422270-reduced-risk-for-smes-contemplating-energy-efficiency;"The ESI Europe project brings about a turnkey solution for SMEs wary of the risk of investing in energy efficiency. Its approach has been presented to relevant SMEs in Italy, Portugal and Spain. It is already supported by major insurance companies and financial institutions.";Energy;H2020-EU.3.3.,H2020-EU.3.3.7.,H2020-EU.3.3.1.;;;;en;de,en,es,fr,it,pl,pt;"2020-09-29 15:14:37";https://cordis.europa.eu/article/id/422270-reduced-risk-for-smes-contemplating-energy-efficiency
brief;435518;;"A EUR 150 million pipeline bringing liquidity to energy efficiency investments";435518-a-eur-150-million-pipeline-bringing-liquidity-to-energy-efficiency-investments;"Innovative, industry-tested tools aim to encourage more investments in energy efficiency initiatives – especially those being led by SMEs.";Energy;H2020-EU.3.3.,H2020-EU.3.3.7.,H2020-EU.3.3.1.;;;;en;de,en,es,fr,it,pl;"2021-12-23 13:58:25";https://cordis.europa.eu/article/id/435518-a-eur-150-million-pipeline-bringing-liquidity-to-energy-efficiency-investments
brief;422271;;"Helping homeowners invest in sustainable renovation";422271-a-home-based-financing-model-to-boost-investments-in-sustainable-renovation;"An innovative financing model for energy efficiency has been extensively tested by the EuroPACE project, and is now being implemented in different cities across Europe. Its success could be key to achieving the EU’s climate goals.";Energy;H2020-EU.3.3.,H2020-EU.3.3.7.,H2020-EU.3.3.1.;;;;en;de,en,es,fr,it,pl;"2021-12-23 15:14:37";https://cordis.europa.eu/article/id/422271-a-home-based-financing-model-to-boost-investments-in-sustainable-renovation
brief;215207;;"An integrated approach to nanotechnology safety";215207-an-integrated-approach-to-nanotechnology-safety;"European researchers have developed the computational infrastructure for toxicological data management of engineered nanomaterials (ENMs). The system is based on open standards, open source, ontologies and an interoperable design.";"Industrial Technologies,Society,Fundamental Research ,Health";FP7-NMP;;;;en;de,en,es,fr,it,pl;"2018-01-22 11:16:22";https://cordis.europa.eu/article/id/215207-an-integrated-approach-to-nanotechnology-safety
news;123496;;"EFFECT presents its first slideshow on the importance of Future and Emerging Technologies";123496-effect-presents-its-first-slideshow-on-the-importance-of-future-and-emerging-technologies;"The slideshow is a multimedia product describing the need for disruptive technologies and why high-risk research should be funded";;;;;;en;en;"2018-07-03 19:08:12";https://cordis.europa.eu/article/id/123496-effect-presents-its-first-slideshow-on-the-importance-of-future-and-emerging-technologies
