Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
project;239851;MUSAE;"MUSAE: a human-centred factory for a future technological sustainable development driven by arts";101070421;"The European economy's Digital Transformation (DT) is crucial for preserving and boosting international competitive advantages (Digital European Programme).A green and sustainable transformation is a vital step for protecting the health and wellbeing of citizens from...";;HORIZON.2.4,HORIZON.2.4.5;"/social sciences/economics and business/business and management/innovation management;/humanities/arts;/natural sciences/physical sciences/astronomy/planetary sciences/planets;/natural sciences/physical sciences/theoretical physics/particle physics/gluons";2022-09-01;2025-08-31;en;en;"2022-08-23 21:33:43";https://cordis.europa.eu/project/id/101070421
project;94549;CHANCE2SUSTAIN;"Urban Chances: City growth and the sustainability challenge; Comparing fast growing cities in growing economies";244828;"In this programme we want to examine how governments and citizens in cities with differing patterns of urban economic growth make use of participatory(or integrated) spatial knowledge management to direct urban governance towards more sustainable development (SD). Participato...";;FP7-SSH;"/social sciences/sociology/governance";2010-04-01;2014-07-31;en;en;"2019-07-16 20:27:53";https://cordis.europa.eu/project/id/244828
projectDescription;438108;;"Accelerating the dietary shift";438108-accelerating-the-dietary-shift;;;;;;;en;de,en,es,fr,it,pl;"2023-01-09 14:33:43";https://cordis.europa.eu/article/id/438108-accelerating-the-dietary-shift
news;23465;;"Tekes proposes FP7 research priority dedicated to industry";23465-tekes-proposes-fp7-research-priority-dedicated-to-industry;"Tekes, Finland's technology agency, has called for the introduction of an entirely new thematic priority in the Seventh Framework Programme (FP7) for EU research: 'R&D as a tool to renew strong existing industries'.

In a position paper on FP7, Tekes states that it finds 'mo...";;;;;;en;de,en,es,fr,it,pl;"2005-03-04 00:00:02";https://cordis.europa.eu/article/id/23465-tekes-proposes-fp7-research-priority-dedicated-to-industry
project;235719;REGGAE;"Researchers for European Green Growth And Education";101036079;"REGGAE will showcase the role of scientists in the achievement of a greener, more resilient and innovative European society, by involving researchers and public side by side in lively activities. By engaging adult citizens and showing how innovation and knowledge can lead to...";;H2020-EU.1.3.,H2020-EU.1.3.5.;"/engineering and technology/environmental engineering/energy and fuels/renewable energy;/natural sciences/biological sciences/ecology/ecosystems;/social sciences/economics and business/economics/sustainable economy";2021-05-01;2021-11-30;en;en;"2022-10-28 14:22:04";https://cordis.europa.eu/project/id/101036079
brief;84204;;"Developing an analytical framework for water supply";84204-developing-an-analytical-framework-for-water-supply;"A clean water supplying is vital for maintaining a decent quality of life. Therefore, an analytical framework and best quality guidelines have been developed to ensure high quality public water supplies.";"Climate Change and Environment";FP5-EESD;;;;en;de,en,es,fr,it,pl;"2008-07-07 14:23:09";https://cordis.europa.eu/article/id/84204-developing-an-analytical-framework-for-water-supply
news;25683;;"ITRE committee begins FP7 vote, emphasising SMEs and autonomy for the ERC";25683-itre-committee-begins-fp7-vote-emphasising-smes-and-autonomy-for-the-erc;"The European Parliament's Industry, Research and Energy (ITRE) committee adopted a series of amendments on the Commission's proposal for the Seventh Framework Programme (FP7) on 15 May. Many of the changes are intended to increase the participation of small and medium sized en...";;;;;;en;de,en,es,fr,it,pl;"2006-05-19 00:00:02";https://cordis.europa.eu/article/id/25683-itre-committee-begins-fp7-vote-emphasising-smes-and-autonomy-for-the-erc
brief;411564;;"New wearable sensing architecture monitors biomarkers in sweat";411564-new-wearable-sensing-architecture-monitors-biomarkers-in-sweat;"Reliable wearable biosensors for health monitoring is now an option thanks to EU-funded researchers developing organic semiconductor architectures with unique properties.";Health;H2020-EU.1.3.,H2020-EU.1.3.2.;;;;en;de,en,es,fr,it,pl;"2019-11-22 17:08:07";https://cordis.europa.eu/article/id/411564-new-wearable-sensing-architecture-monitors-biomarkers-in-sweat
project;75683;"ECRIN RKP";"European clinical research infrastructures network - reciprocal knowledge programme";511963;"Based on the interconnection of national networks of Clinical Research Centres (CRC) and Clinical Trial Units (CTU) in Denmark, Germany, Italy, Spain, Sweden, and France, together with the European Forum for Good Clinical Practice, the European Clinical Research Infrastructure...";;FP6-LIFESCIHEALTH;;2004-05-13;2005-05-12;en;en;"2013-03-26 00:00:00";https://cordis.europa.eu/project/id/511963
pubsum;748488;;"Periodic Reporting for period 1 - MUSICA (Multiple-use-of Space for Island Clean Autonomy)";862252_PS;"The overall Aim of MUSICA is to accelerate the roadmap to commercialisation of its Multi-Use Platform (MUP) and Multi-use of Space (MUS) combination for the small island market, and de-risk for future operators and investors, by validation to TRL7 and providing real plans to...";;H2020-EU.3.2.5.3.,H2020-EU.3.2.;;;;en;en;"2021-11-12 19:36:57";https://cordis.europa.eu/project/id/862252/reporting
