Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
project;205811;ISOTIS;"Inclusive Education and Social Support to Tackle Inequalities in Society";727069;"ISOTIS addresses the nature, causes and impact of early emerging social and educational inequalities in the context of socioeconomic, cultural and institutional processes. The aim is to contribute to effective policy and practice development to combat inequalities...";;H2020-EU.3.6.,H2020-EU.3.6.1.2.;"/social sciences/educational sciences/pedagogy;/social sciences/sociology/social issues/social inequalities;/social sciences/sociology/social work;/social sciences/educational sciences/inclusive education;/social sciences/sociology/demography/human migrations";2017-01-01;2019-12-31;en;en;"2022-08-17 16:30:13";https://cordis.europa.eu/project/id/727069
programme;701854;;"The Ethics of informed consent in novel treatment including a gender perspective";H2020_SwafS-17-2016;"Although informed consent is the pillar of ethics in medical research, several cases with high public coverage have awakened society on the difficulty to simultaneously optimise the research objectives and the patients' wellbeing while limiting the various types of potential...";;;;;;en;en;"2017-04-27 16:44:14";https://cordis.europa.eu/programme/id/H2020_SwafS-17-2016
programme;664591;;"Consolidating global knowledge on the green economy in support of sustainable development objectives in Europe and internationally";H2020_SC5-14-2014;"Specific challenge: Global challenges in the areas of climate change, environment, resource efficiency and raw materials require global solutions. Research and innovation can make an important contribution to the EU's involvement in multilateral processes and implementation of...";;;;;;en;en;"2015-03-25 12:00:00";https://cordis.europa.eu/programme/id/H2020_SC5-14-2014
news;442770;;"Cleaning up our oceans with smart robots";442770-cleaning-up-our-oceans-with-smart-robots;"EU-backed researchers are deploying a fleet of autonomous robots to tackle litter on the ocean surface and floor.";"Climate Change and Environment";;;;;en;de,en,es,fr,it,pl;"2023-01-10 12:56:20";https://cordis.europa.eu/article/id/442770-cleaning-up-our-oceans-with-smart-robots
news;123821;;"What’s culture got to do with energy consumption?";123821-whats-culture-got-to-do-with-energy-consumption;"An EU initiative has launched an online interactive data set of sustainable energy initiatives across Europe. The database could help policymakers reduce greenhouse gas emissions and decarbonise the economy.";"Climate Change and Environment";;;;;en;de,en,es,fr,it,pl;"2018-08-09 15:18:52";https://cordis.europa.eu/article/id/123821-whats-culture-got-to-do-with-energy-consumption
resultsPack;400295;;"Precision Farming: Sowing the seeds of a new agricultural revolution";400295-precision-farming-sowing-the-seeds-of-a-new-agricultural-revolution;"The adoption of precision farming techniques is allowing the EU to increase its agricultural output whilst ensuring the sustainability of the European agri-food sector. Consequently, the EU has been supporting cutting-edge research and innovation into a number of exciting solutions that will truly harness all of the opportunities from what promises to be a truly 21st century agricultural revolution.";"Food and Natural Resources";;;;;en;de,en,es,fr,it,pl;"2018-11-23 10:00:00";https://cordis.europa.eu/article/id/400295-precision-farming-sowing-the-seeds-of-a-new-agricultural-revolution
project;32111;"TELEREGIONS SUN";"TELEAPPLICATIONS FOR EUROPEAN REGIONS";SU1002;"This project will seek to match investment in integrated telematics to development in six European regions on a methodological basis. The main focus will be on applications and services, advanced technologies, business process design and re-implementation, and information tech...";;"FP4-TELEMATICS 2C";"/engineering and technology/electrical engineering, electronic engineering, information engineering/information engineering/telecommunications;/social sciences/political sciences/public administration";1996-01-01;1998-12-31;en;en;"1996-06-24 00:00:00";https://cordis.europa.eu/project/id/SU1002
mag;400792;;"Shaping the future of offshore wind";400792-shaping-the-future-of-offshore-wind;;;;;;;en;de,en,es,fr,it,pl;"2016-11-01 00:00:01";https://cordis.europa.eu/article/id/400792-shaping-the-future-of-offshore-wind
brief;413516;;"Bringing European history to life with the Big Data of the Past";413516-bringing-european-history-to-life-with-the-big-data-of-the-past;"Emerging technology has the power to transform history and cultural heritage into a living resource. The Time Machine project will digitise archives from museums and libraries, using Artificial Intelligence and Big Data mining, to offer richer interpretations of our past.";"Digital Economy,Society";H2020-EU.1.2.,H2020-EU.1.2.3.;;;;en;de,en,es,fr,it,pl;"2020-02-24 08:56:10";https://cordis.europa.eu/article/id/413516-bringing-european-history-to-life-with-the-big-data-of-the-past
deliverable;478938;;"New Regulations to Implement PAYT Systems (R16)";688995_48_DELIV;;;;;;;en;en;"2020-07-26 02:39:58";https://cordis.europa.eu/result/rcn/478938/en
