Collection;"Record Number";"Project acronym";Title;ID;Teaser;"Domains of application";Programmes;"Fields of science";"Project start date";"Project end date";Language;"Available languages";"Last updated";URL
pubsum;646634;;"Periodic Reporting for period 2 - Stance4Health (Smart Technologies for personAlised Nutrition and Consumer Engagement)";816303_PS;"What is the problem/issue being addressed?The problem addressed is how, through diet, we can improve overweight in children and adults and its dire consequences for health and how to improve nutrition in Celiac Disease and Food Allergies in childrenStance4Health's overall goal...";;H2020-EU.3.2.,H2020-EU.3.2.2.1.,H2020-EU.3.2.2.2.;;;;en;en;"2022-07-22 13:47:16";https://cordis.europa.eu/project/id/816303/reporting
pubsum;746808;;"Periodic Reporting for period 1 - LONGITOOLS (Dynamic longitudinal exposome trajectories in cardiovascular and metabolic non-communicable diseases)";874739_PS;"Cardiovascular diseases are the leading cause of deaths in the EU, and type 2 diabetes and obesity have reached epidemic proportions worldwide. Together, they form significant economic and service strains on healthcare. On top of this, 20% of all deaths in Europe are related...";;H2020-EU.3.1.,H2020-EU.3.1.2.;;;;en;en;"2021-11-05 20:47:46";https://cordis.europa.eu/project/id/874739/reporting
pubsum;201571;;"Final Report Summary - SPINTAN (Smart Public Intangibles)";612774_PS;"The SPINTAN project aimed at discovering the theoretical and empirical underpins of public intangible policies complementing an ever growing literature on intangibles in the market sector. The project had three strands – measurement and conceptual issues; construction of a...";;FP7-SSH;;;;en;en;"2017-07-25 17:47:13";https://cordis.europa.eu/project/id/612774/reporting
pubsum;184208;;"Final Report Summary - NANOFOOT (Materials, Components and Footwear with enhanced comfort properties based on nanotechnologies)";606570_PS;"Executive Summary:NANOFOOT project pursued the development of advanced and innovative nanotechnology based solutions for leathers and polymers components for footwear products, aiming the sustainable and customer-driven production of consumer goods; where the health...";;FP7-SME;;;;en;en;"2016-06-02 16:25:21";https://cordis.europa.eu/project/id/606570/reporting
pubsum;56032;;"Final Report Summary - ASPA (Activating Senior Potential in Ageing Europe)";216289_PS;"Executive Summary:

 The ageing of society and the workforce is one of the dominant developments in modern European societies. This development faces society with the challenge how to use the senior potential, both inside and outside the labour market. According to European go...";;FP7-SSH;;;;en;en;"2013-04-29 00:00:00";https://cordis.europa.eu/project/id/216289/reporting
pubsum;189917;;"Final Report Summary - OPSIC (Operationalising Psychosocial Support in Crisis)";312783_PS;"The consortium of ten partners successfully completed work within the OPSIC (Operationalising Psychosocial Support in Crisis) project. The triple objectives of the project were: 1.	To provide overview of existing guidelines for psychosocial support (PSS) in crisis management...";;FP7-SECURITY;;;;en;en;"2016-10-07 10:34:16";https://cordis.europa.eu/project/id/312783/reporting
brief;417979;;"NATURVATION: Reconciling urbanisation with nature";417979-naturvation-reconciling-urbanisation-with-nature;"What if the parts of cities where nature thrives could become the norm? Worried about the consequences of unsustainable urbanisation across Europe, the NATURVATION project has been clearing the path towards the more effective implementation of nature-based solutions in urban environments.";"Climate Change and Environment";H2020-EU.3.5.4.2.,H2020-EU.3.5.2.3.,H2020-EU.3.5.,H2020-EU.3.5.1.2.,H2020-EU.3.5.1.3.,H2020-EU.3.5.2.2.;;;;en;de,en,es,fr,it,pl,pt;"2020-05-07 17:38:41";https://cordis.europa.eu/article/id/417979-naturvation-reconciling-urbanisation-with-nature
mag;406167;;"Vast, complicated, (dis)orderly? Unlocking the secrets of the cosmos";406167-vast-complicated-dis-orderly-unlocking-the-secrets-of-the-cosmos;"The night sky is not just inspiring and beautiful. It’s the origin story of our very existence, and one of the greatest mysteries science has ever had to solve. This month’s special feature looks into some of the latest EU-funded attempts to unlock the mysteries of the Universe.";;;;;;en;de,en,es,fr,it,pl;"2019-08-19 10:00:00";https://cordis.europa.eu/article/id/406167-vast-complicated-dis-orderly-unlocking-the-secrets-of-the-cosmos
pubsum;227593;;"Final Report Summary - DERREG (Developing Europe's Rural Regions in the Era of Globalization: An Interpretative Model for Better Anticipating and Responding to Challenges for Regional Development in an Evolving International Context)";225204_PS;"Globalization has a pervasive influence over regional development in rural Europe, presenting both opportunities and challenges. DERREG has examined how globalization processes are impacting on rural economies and societies in practice, and why impacts and responses vary...";;FP7-SSH;;;;en;en;"2018-04-30 18:02:39";https://cordis.europa.eu/project/id/225204/reporting
pubsum;194644;;"Final Report Summary - CREDITS4HEALTH (Credits-based, people-centric approach for the adoption of healthy life-styles and balanced Mediterranean diet in the frame of social participation and innovation for health promotion.)";602386_PS;"The problem to be addressed Many researches confirm the looming pandemic of Non Communicable and Chronic Diseases (NCD, CD), which represent the top cause of death worldwide (around 86% of total mortality in Europe), and which killed more than 36 million people in 2008. The...";;FP7-HEALTH;;;;en;en;"2017-02-09 12:28:10";https://cordis.europa.eu/project/id/602386/reporting
